setting,task,image_type,model,file_name,path,total,correct,incorrect,wrong_format,bad_expected,accuracy,image_wins,text_wins,neither_wins,both_wins,image_win_rate,text_win_rate,neither_rate,both_rate,valid_modality_total,invalid_original,invalid_corrupted
text_and_image,connected_nodes,spring,Qwen2.5-VL-3B-Instruct,spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,results\mixed_baseline\text_and_image\connected_nodes\spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,118,20,98,0,0,0.169492,58,20,40,0,0.491525,0.169492,0.338983,0.0,118,0,0
text_and_image,connected_nodes,spring,Qwen2.5-VL-7B-Instruct,spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,results\mixed_baseline\text_and_image\connected_nodes\spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,159,80,79,0,0,0.503145,40,80,39,0,0.251572,0.503145,0.245283,0.0,159,0,0
text_and_image,disconnected_nodes,spring,Qwen2.5-VL-3B-Instruct,spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,results\mixed_baseline\text_and_image\disconnected_nodes\spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,12,0,12,0,0,0.0,8,0,4,0,0.666667,0.0,0.333333,0.0,12,0,0
text_and_image,disconnected_nodes,spring,Qwen2.5-VL-7B-Instruct,spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,results\mixed_baseline\text_and_image\disconnected_nodes\spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,31,13,18,0,0,0.419355,17,13,1,0,0.548387,0.419355,0.032258,0.0,31,0,0
text_and_image,edge_count,spring,Qwen2.5-VL-3B-Instruct,spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,results\mixed_baseline\text_and_image\edge_count\spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,112,69,43,0,0,0.616071,33,69,10,0,0.294643,0.616071,0.089286,0.0,112,0,0
text_and_image,edge_count,spring,Qwen2.5-VL-7B-Instruct,spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,results\mixed_baseline\text_and_image\edge_count\spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,191,148,43,0,0,0.774869,38,148,5,0,0.198953,0.774869,0.026178,0.0,191,0,0
text_and_image,edge_existence,spring,Qwen2.5-VL-3B-Instruct,spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,results\mixed_baseline\text_and_image\edge_existence\spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,276,145,131,0,0,0.525362,131,145,0,0,0.474638,0.525362,0.0,0.0,276,0,0
text_and_image,edge_existence,spring,Qwen2.5-VL-7B-Instruct,spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,results\mixed_baseline\text_and_image\edge_existence\spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,300,164,136,0,0,0.546667,136,164,0,0,0.453333,0.546667,0.0,0.0,300,0,0
text_and_image,node_count,spring,Qwen2.5-VL-3B-Instruct,spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,results\mixed_baseline\text_and_image\node_count\spring_corrupt-text_Qwen2.5-VL-3B-Instruct.jsonl,292,0,292,0,0,0.0,292,0,0,0,1.0,0.0,0.0,0.0,292,0,0
text_and_image,node_count,spring,Qwen2.5-VL-7B-Instruct,spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,results\mixed_baseline\text_and_image\node_count\spring_corrupt-text_Qwen2.5-VL-7B-Instruct.jsonl,350,0,350,0,0,0.0,350,0,0,0,1.0,0.0,0.0,0.0,350,0,0
